repository,title,labels,description
biberthomas94/AML-SaaS,"Secure project scaffold (monorepo, CI, Docker)","backlog,infra,ui,api","## Goal
Create the base repository structure so agents can start coding with CI in place.
## Acceptance Criteria
- [ ] Monorepo with `/apps/api`, `/apps/web`, `/packages/*`, `/infra`
- [ ] GitHub Actions workflow runs (lint/test/build placeholder)
- [ ] Dockerfiles for API & Web build successfully locally
- [ ] README updated with how to run

## Agent Prompt
“Initialize a monorepo with `/apps/api` (NestJS), `/apps/web` (React), `/packages` (shared libs), `/infra` (Terraform placeholders). Add GitHub Actions for lint/test/build and Dockerfiles for API/Web.”
"
biberthomas94/AML-SaaS,"Cloud baseline (Terraform for VPC, RDS, Secrets)","backlog,infra","## Goal
Provision minimal cloud (staging) with database and secrets.

## Acceptance Criteria
- [ ] Terraform modules for VPC, subnets, security groups
- [ ] RDS Postgres + Secrets Manager configured
- [ ] State stored in S3 with DynamoDB lock
- [ ] Docs: how to `terraform init/plan/apply`

## Agent Prompt
“Write Terraform for VPC, subnets, security groups, RDS Postgres, and Secrets Manager. Output state to S3 with DynamoDB lock. Provide docs for running commands.”
"
biberthomas94/AML-SaaS,Database schema v0 (Prisma + migrations + ERD),"backlog,db,infra","## Goal
Create initial schema and migrations for core AML entities.

## Acceptance Criteria
- [ ] Tables: users, customers, transactions, alerts, cases, evidence, sars, audit_log, rules, rule_versions, travel_rule_records, ctr_candidates
- [ ] Indexes on customer_id/timestamps where relevant
- [ ] Seed: 50 customers, 1,000 transactions
- [ ] ERD image exported and committed

## Agent Prompt
“Create SQL/Prisma migrations for core AML entities and an ERD export. Include seed fixtures for 50 customers and 1,000 transactions.”
"
biberthomas94/AML-SaaS,Auth & RBAC (Auth0/Cognito + roles),"backlog,auth,api,ui","## Goal
Enable secure sign-in and enforce role-based access.

## Acceptance Criteria
- [ ] Integrate OIDC (Auth0 or Cognito) for login
- [ ] Roles: analyst, reviewer, admin
- [ ] API enforces RBAC on endpoints
- [ ] Seed/demo users provisioned

## Agent Prompt
“Integrate Auth0/Cognito OIDC into API/Web. Implement RBAC middleware for roles {analyst, reviewer, admin}. Provide seed users and role-aware nav.”
"
biberthomas94/AML-SaaS,Transaction import (CSV/JSON + validation),"backlog,monitoring,api,ui","## Goal
Let users upload transactions into the system with validation.

## Acceptance Criteria
- [ ] API endpoint: `POST /transactions/import` accepts CSV/JSON
- [ ] React upload page with schema validation + error report
- [ ] Sample input files and error CSV provided

## Agent Prompt
“Build transaction ingestion API and React upload page with schema validation and error CSV output for rejected rows.”
"
biberthomas94/AML-SaaS,"JSON rules engine (threshold, structuring, velocity)","backlog,monitoring,api,db","## Goal
Config-driven detection engine with explainable outputs.

## Acceptance Criteria
- [ ] Supports threshold (> $10k), structuring (sub-$10k within 24h), velocity (>N/hour)
- [ ] Rules stored as JSON (versioned) with severity and windows
- [ ] Emits rationale string; persists alerts with references
- [ ] Unit tests + example JSON rules

## Agent Prompt
“Implement a JSON-driven rules engine with priority/time windows. Add three rules (threshold/structuring/velocity). Persist alerts and rationale. Ship tests and sample rules.”
"
biberthomas94/AML-SaaS,Alert queue UI (filters + keyboard triage),"backlog,ui,monitoring","## Goal
Provide an analyst view to triage alerts quickly.
## Acceptance Criteria
- [ ] Filter by date, rule, severity/status, customer
- [ ] Pagination + keyboard navigation
- [ ] Clicking opens details with linked transactions

## Agent Prompt
“Create an Alert Queue React page with filters and keyboard triage. Connect to alert API and detail view.”
"
biberthomas94/AML-SaaS,Case management (lifecycle + evidence + timeline),"backlog,cases,ui,api,audit","## Goal
Turn alerts into cases and track the investigation lifecycle.

## Acceptance Criteria
- [ ] Case lifecycle: Open → In Review → Closed/Escalated
- [ ] Evidence upload to S3; metadata stored in DB
- [ ] Timeline composed from audit_log entries
- [ ] Link alerts ↔ cases

## Agent Prompt
“Add Case endpoints and React detail page. Evidence uploads to S3. Timeline from audit_log. Alerts link to cases.”
"
biberthomas94/AML-SaaS,Customer onboarding (form + sanctions/KYC stub + risk),"backlog,kyc,ui,api","## Goal
Capture customer data, perform stub screening, assign risk.

## Acceptance Criteria
- [ ] Onboarding form collects KYC basics (name/DOB/address/contact/ID type)
- [ ] Sanctions/PEP stub runs on create/update
- [ ] Risk rating (Low/Med/High) + rationale stored and displayed

## Agent Prompt
“Build Customer Onboarding UI + API. Add sanctions/PEP screening stub and compute risk score with explainable rationale. Feature-flag providers later.”
"
biberthomas94/AML-SaaS,Provider adapters (KYC & sanctions) with sandbox mode,"backlog,kyc,api","## Goal
Allow swapping real providers without changing core code.

## Acceptance Criteria
- [ ] Adapters for Trulioo/Jumio (IDV) and ComplyAdvantage/World-Check (sanctions) interfaces
- [ ] Environment variable selects provider vs. stub
- [ ] Sandbox/test keys read from secrets manager

## Agent Prompt
“Create provider-agnostic adapters for KYC and sanctions with env-driven selection and sandbox mode. Read credentials from secrets manager.”
"
